Country,Index_Score,Fiscal,Permit_Licensing,Legal,Energy_Grid,Tariff_Import,Operating_Conditions,Permit_Months,Region
Alberta (CA),0.531,0.538,0.356,0.815,0.300,0.731,0.672,4.5,North America
Argentina,0.570,0.544,0.591,0.706,0.420,0.666,0.579,6.0,Latin America
Australia,0.280,0.365,0.191,0.088,0.280,0.473,0.357,10.5,Oceania
Brazil,0.541,0.504,0.626,0.529,0.493,0.540,0.684,3.5,Latin America
Chile,0.443,0.663,0.501,0.500,0.180,0.463,0.410,7.5,Latin America
DRC,0.459,0.425,0.870,0.500,0.273,0.200,0.730,4.5,Africa
Ethiopia,0.512,0.427,0.595,0.368,0.607,0.570,0.420,8.7,Africa
Finland,0.467,0.325,0.560,0.250,0.503,0.635,0.796,4.5,Europe
Iceland,0.603,0.629,0.602,0.750,0.466,0.553,0.827,4.5,Europe
Kazakhstan,0.469,0.458,0.653,0.638,0.201,0.554,0.369,2.5,Central Asia
Kenya,0.467,0.528,0.638,0.500,0.299,0.394,0.570,4.5,Africa
Norway,0.508,0.458,0.442,0.338,0.571,0.659,0.779,4.5,Europe
Oman,0.751,0.813,0.794,0.875,0.577,0.885,0.384,3.0,Middle East
Paraguay,0.569,0.555,0.514,0.538,0.544,0.783,0.412,6.9,Latin America
Québec (CA),0.550,0.575,0.371,0.500,0.512,0.804,0.679,8.2,North America
Russia,0.506,0.465,0.511,0.450,0.472,0.613,0.693,5.5,Europe
Sweden,0.454,0.170,0.573,0.250,0.600,0.585,0.764,4.5,Europe
Texas (US),0.556,0.600,0.490,0.714,0.508,0.535,0.358,4.8,North America
UAE,0.706,0.788,0.653,0.875,0.594,0.802,0.261,6.0,Middle East
